Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description
PTH08080WAH	TEXAS INSTRUMENTS	farnell	1470502	POWER MODULE, MINI, 18V WIDE ADJ 
MCPWR06FTEO4701	MULTICOMP	farnell	1887468	RESISTOR, 1206, 4.7K 1%, 0.33W 
MCCA000568	MULTICOMP	farnell	1759451	CAP, 1206, Y5V, 25V, 2.2UF 
MCCA000416	MULTICOMP	farnell	1759297	CAP, 1206, CERAMIC, 0.1UF, 16V, X7R 
MCCA000683	MULTICOMP	farnell	1855794	CAP, 1206, NP0, 200V, 22PF 
22-23-2081	MOLEX	farnell	1756826	HEADER, 2.54MM, 8WAY 
22-23-2031	MOLEX	farnell	1462950	HEADER, PIN, 3WAY 
22-23-2041	MOLEX	farnell	1462920	HEADER, PIN, 4WAY 
MAX4820EUP+	MAXIM INTEGRATED PRODUCTS	farnell	2113140	DRIVER, RELAY, 8CH, SPI, 20TSSOP 
77311-401-36LF	FCI	farnell	1097954	HEADER, PIN, TIN, 36WAY, 1ROW 
MCCA000557	MULTICOMP	farnell	1759438	CAP, 1206, Y5V, 16V, 1UF 
HSMH-C170	AVAGO TECHNOLOGIES	farnell	5790840	LED, 0805, RED, 17MCD, 626NM 
ERJ8GEYJ103V	PANASONIC	farnell	2057856	RESISTOR, 1206, 10K 5%, 0.25W 
FDLL4448	FAIRCHILD SEMICONDUCTOR	farnell	1495127	DIODE, SIGNAL, LL34 
PMDT670UPE	NXP	farnell	2069555	MOSFET, P CH, DUAL, 20V, 550MA 
